Month,Age,Occupation,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Interest_Rate,Num_of_Loan,Delay_from_due_date,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Credit_Mix,Outstanding_Debt,Credit_Utilization_Ratio,Credit_History_Age,Payment_of_Min_Amount,Total_EMI_per_month,Amount_invested_monthly,Payment_Behaviour,Monthly_Balance,Credit_Score,Personal Loan,Credit-Builder Loan,Debt Consolidation Loan,Mortgage Loan,Student Loan,Payday Loan,Auto Loan,Home Equity Loan
July,27.0,Scientist,43452.15,3864.0125,3.0,6.0,7.0,5.0,30.0,9.0,10.4,11.0,1.0,859.42,28.693657445884,188.0,Yes,155.26013657218263,26.484472399347467,High_spent_Large_value_payments,444.6566410284698,1,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
April,29.0,Lawyer,36309.76,3097.813333333333,7.0,8.0,16.0,8.0,18.0,15.0,14.74,10.0,1.0,1904.87,27.403954397838863,160.0,Yes,157.66005014985478,167.39229774905374,Low_spent_Large_value_payments,254.72898543442483,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
March,27.0,Teacher,22846.31,2166.859166666667,7.0,3.0,5.0,3.0,29.0,8.0,19.12,2.0,1.0,1374.76,27.81659147486742,253.0,Yes,44.81412898379753,112.49139431891848,High_spent_Small_value_payments,319.3803933639507,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
April,27.0,Journalist,43280.82,3648.735,7.0,5.0,14.0,4.0,44.0,24.0,7.7,7.0,0.0,2576.44,27.40216672793124,140.0,Yes,74.2901350692896,215.07879936697793,High_spent_Small_value_payments,335.5045655637325,1,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
June,26.0,Developer,45652.17,3888.3475,8.0,6.0,13.0,7.0,5.0,12.0,17.94,8.0,1.0,28.54,30.828483555508672,130.0,Yes,160.47330357380238,50.412158263450834,High_spent_Large_value_payments,417.9492881627468,1,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
May,44.0,Journalist,63382.56,4996.88,10.0,9.0,24.0,7.0,28.0,10.0,10.22,9.0,1.0,2441.01,22.172433135479565,139.0,Yes,353.02979834622147,135.99726032472827,High_spent_Medium_value_payments,260.66094132905033,0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
February,19.0,Doctor,14293.6,1022.1333333333334,6.0,5.0,32.0,6.0,51.0,20.0,8.01,11.0,0.0,4064.01,29.984363348114503,155.0,Yes,66.88854173491038,36.781235095792546,High_spent_Medium_value_payments,248.54355650263042,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
May,37.0,Media_Manager,91686.69,7842.5575,3.0,3.0,3.0,2.0,18.0,14.0,6.69,3.0,2.0,579.04,28.81166335372631,218.0,No,83.09116325853846,133.72800399760985,Low_spent_Medium_value_payments,168.88701015874153,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
June,43.0,Manager,118717.64,9885.136666666667,3.0,5.0,10.0,2.0,30.0,15.0,7.22,8.0,1.0,718.0,37.83274680260772,315.0,Yes,141.09080021656413,133.72800399760985,Low_spent_Medium_value_payments,118.26407291489944,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
June,31.0,Manager,37756.85,769.6208333333333,8.0,6.0,29.0,6.0,27.0,18.0,9.4,16.0,0.0,3371.11,24.09173000395404,110.0,No,33.799504337518066,44.43386435102255,Low_spent_Medium_value_payments,278.72871464479266,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
June,41.0,Developer,37057.58,3063.1316666666667,6.0,3.0,18.0,4.0,15.0,16.0,10.94,4.0,1.0,2230.04,33.824584264613385,111.0,Yes,106.6425282670551,209.07691865265843,High_spent_Small_value_payments,250.5937197469532,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
February,43.0,Manager,48608.78,4300.731666666667,5.0,5.0,5.0,2.0,14.0,17.0,15.11,12.0,1.0,345.71,35.641549444251325,191.0,Yes,60.10848226180946,151.9715639618723,High_spent_Medium_value_payments,467.99312044298483,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
July,39.0,Media_Manager,115645.65,9434.1375,5.0,8.0,10.0,1.0,10.0,3.0,10.25,5.0,2.0,66.47,27.143611421401665,280.0,No,70.95805519559642,133.72800399760985,High_spent_Medium_value_payments,334.044059374466,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
January,15.0,Engineer,83075.64,7015.97,6.0,4.0,16.0,1.0,25.0,12.0,21.49,5.0,1.0,1466.97,39.60039593638722,281.0,Yes,56.76375399475975,245.72182144876564,High_spent_Medium_value_payments,649.1114245564747,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
April,35.0,Lawyer,40561.2,3616.1,9.0,6.0,28.0,8.0,18.0,17.0,16.76,17.0,0.0,3158.45,39.32449822186735,132.0,Yes,189.3974598580991,42.33562222664811,High_spent_Large_value_payments,369.8769179152528,0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
March,39.0,Doctor,86290.14,7381.845,4.0,3.0,8.0,3.0,24.0,5.0,4.53,0.0,1.0,841.82,26.038922732427267,281.0,Yes,173.94759688998954,443.51173302710504,High_spent_Small_value_payments,380.72517008290566,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
January,49.0,Media_Manager,107761.29,9047.1075,4.0,5.0,9.0,0.0,5.0,15.0,13.56,1.0,1.0,34.09,28.13108085101103,205.0,Yes,0.0,221.83815933875675,High_spent_Medium_value_payments,334.044059374466,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
May,35.0,Scientist,68183.84,5916.986666666668,8.0,4.0,27.0,7.0,31.0,19.0,25.67,10.0,0.0,3341.21,28.41832710219297,138.0,Yes,201.1615103014232,210.3788536943833,High_spent_Medium_value_payments,430.1583026708601,0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
July,21.0,Journalist,30197.28,2594.44,5.0,7.0,14.0,4.0,20.0,13.0,17.0,5.0,1.0,811.08,28.956337026858183,133.0,Yes,57.08103770858573,63.78362533443147,High_spent_Small_value_payments,398.5793369569829,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
May,15.0,Media_Manager,132265.36,11260.113333333333,6.0,7.0,16.0,6.0,29.0,19.0,15.65,8.0,1.0,636.46,26.916795325799,68.0,Yes,69.46323081444827,567.675363871656,Low_spent_Large_value_payments,405.872612905531,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
February,46.0,Entrepreneur,56987.92,4626.993333333333,4.0,5.0,7.0,1.0,0.0,3.0,8.07,4.0,2.0,949.65,29.88076908299817,227.0,No,25.65855793556921,260.22119100141043,Low_spent_Medium_value_payments,456.81958439635366,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
February,24.0,Mechanic,50043.27,4132.2725,7.0,6.0,31.0,8.0,22.0,24.0,16.11,12.0,0.0,1178.69,35.968020301139774,77.0,Yes,184.87918181218652,69.7993832322289,Low_spent_Small_value_payments,398.54868495558463,1,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
July,49.0,Accountant,30807.57,2796.2975,0.0,5.0,4.0,4.0,5.0,5.0,4.88,3.0,2.0,708.2,34.74038360620258,323.0,No,88.49211489293512,49.066132256434926,High_spent_Large_value_payments,382.07150285062994,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
January,37.0,Mechanic,32154.28,2523.523333333333,3.0,6.0,32.0,3.0,6.0,15.0,23.54,6.0,1.0,2662.33,32.22237228129544,71.0,Yes,74.06279105130062,65.89577300479438,Low_spent_Large_value_payments,382.39376927723833,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
July,32.0,Scientist,132123.84,10895.32,0.0,2.0,1.0,0.0,10.0,8.0,-3.55,2.0,2.0,1445.31,27.32190228798873,297.0,No,0.0,535.4341080009452,Low_spent_Medium_value_payments,334.044059374466,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
February,52.0,Lawyer,63383.1,10895.32,6.0,3.0,8.0,3.0,24.0,16.0,7.54,1.0,1.0,549.06,40.53247952567365,368.0,Yes,151.43424890220038,212.79337660830947,High_spent_Small_value_payments,440.1648744894902,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
February,34.0,Mechanic,37756.85,3097.31625,5.0,5.0,8.0,4.0,14.0,11.0,0.54,1.0,2.0,741.28,28.601321982365512,248.0,No,69.46323081444827,350.1799158453048,High_spent_Large_value_payments,334.044059374466,0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
May,44.0,Musician,31980.14,2924.0116666666668,7.0,3.0,16.0,6.0,24.0,18.0,18.21,10.0,1.0,1902.33,35.62266218383754,93.0,Yes,142.7969652084404,371.5948861009169,Low_spent_Small_value_payments,68.00931535730942,0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
January,35.0,Media_Manager,32597.48,2734.4566666666665,1.0,2.0,2.0,2.0,10.0,10.0,4.3,2.0,2.0,1313.52,32.488003136513804,232.0,No,45.053384914710776,140.60280044448075,Low_spent_Large_value_payments,357.7894813074752,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
January,45.0,Manager,60593.8,5033.483333333334,3.0,4.0,12.0,2.0,31.0,12.0,18.69,6.0,1.0,798.77,29.169866672388657,124.0,Yes,96.7119735950985,189.6092421982105,High_spent_Medium_value_payments,467.02711754002434,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
August,36.0,Mechanic,18426.245,1710.208141213055,5.0,4.0,14.0,5.0,16.0,14.0,5.699999999999998,5.0,1.0,223.38,26.74968111981397,123.0,Yes,147.55224162583357,52.66569580092983,Low_spent_Large_value_payments,331.34637969351513,1,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
January,52.0,Scientist,37756.85,3097.31625,3.0,2.0,8.0,1.0,11.0,4.0,9.38,0.0,2.0,799.18,37.368118156809885,370.0,No,93.2489102152254,503.19038835843133,High_spent_Medium_value_payments,334.044059374466,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
May,44.0,Teacher,35531.83,2743.9858333333336,1.0,4.0,12.0,4.0,12.0,10.0,1.66,4.0,2.0,313.55,32.635614390198164,211.0,No,75.17187482069276,89.55338701051772,High_spent_Small_value_payments,369.67332150212286,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
June,27.0,Entrepreneur,19653.61,1800.8008333333337,9.0,5.0,25.0,7.0,25.0,20.0,25.67,11.0,0.0,3838.0,33.40433876638211,165.0,Yes,63.36866264354919,49.64856126317362,High_spent_Small_value_payments,327.0628594266105,0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0
April,39.0,Writer,19934.08,1361.1733333333334,7.0,5.0,14.0,2.0,30.0,18.0,1.71,7.0,1.0,311.45,28.500376137791964,210.0,No,24.658223431644696,32.95059746597353,High_spent_Small_value_payments,338.50851243571515,1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
July,31.0,Teacher,14899.97,1414.664166666667,4.0,3.0,14.0,3.0,30.0,18.0,8.99,9.0,1.0,2461.36,37.4496031973111,200.0,Yes,51.51809828856595,138.68982258406348,Low_spent_Medium_value_payments,231.25849579403726,1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
May,38.0,Architect,37131.02,3307.251666666666,5.0,7.0,14.0,1.0,6.0,1.0,10.3,7.0,2.0,88.0,35.49839772196446,330.0,No,16.723867948870357,134.90515227569207,High_spent_Medium_value_payments,429.0961464421042,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
February,19.0,Engineer,56039.7,4899.974999999999,2.0,5.0,9.0,4.0,8.0,15.0,7.64,2.0,2.0,895.2,25.201103283856423,213.0,No,128.64099867263917,118.52356441416916,High_spent_Medium_value_payments,492.8329369131916,0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
August,36.0,Writer,20295.67,1474.8598998948437,10.0,6.0,17.0,8.0,46.0,16.0,-2.56,16.0,0.0,2103.83,32.52233853108922,246.0,Yes,131.54709508740996,133.72800399760985,Low_spent_Medium_value_payments,230.74812084210288,0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
April,18.0,Engineer,17686.19,1424.8491666666666,9.0,9.0,19.0,3.0,36.0,18.0,20.04,9.0,0.0,2994.45,33.41879416923362,114.0,Yes,59.38569732527807,133.72800399760985,Low_spent_Small_value_payments,283.47213127117874,1,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
July,42.0,Architect,33209.27,2954.439166666666,1.0,6.0,8.0,2.0,24.0,2.0,11.99,4.0,2.0,743.65,40.53838208931556,208.0,No,54.263163320411365,98.98349889209221,High_spent_Medium_value_payments,392.19725445416316,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
April,28.0,Lawyer,32303.73,2927.9775,4.0,1.0,5.0,3.0,15.0,1.0,11.99,1.0,2.0,1232.34,37.438774861903305,208.0,No,43.44926576939416,214.0949202552464,Low_spent_Medium_value_payments,315.2535639753595,2,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
February,42.0,Teacher,16084.71,1514.3925,7.0,10.0,25.0,6.0,16.0,21.0,9.38,12.0,0.0,3647.98,33.19741069053421,78.0,Yes,60.13711991244536,122.99730024268246,Low_spent_Medium_value_payments,248.30482984487216,1,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
April,24.0,Developer,21434.2,1964.1833333333327,6.0,6.0,18.0,6.0,11.0,10.0,10.09,8.0,1.0,1240.7,28.177714325621096,88.0,Yes,92.90724376867662,113.56662422398884,Low_spent_Medium_value_payments,269.94446534066793,1,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
June,25.0,Manager,73134.06,5913.505,5.0,4.0,12.0,4.0,23.0,12.0,2.63,4.0,1.0,382.91,30.25166920325084,400.0,No,156.92095636386563,296.03270633549926,Low_spent_Small_value_payments,428.3968373006351,1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
February,22.0,Lawyer,88290.45000000003,1995.68,4.0,7.0,12.0,1.0,15.0,17.0,1.88,1.0,1.0,412.4,42.92845808357412,227.0,No,56.61538323144085,202.5029627027652,High_spent_Medium_value_payments,723.2354040657941,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
June,55.0,Lawyer,20660.16,1995.68,1.0,1.0,1.0,2.0,1.0,9.0,6.59,4.0,2.0,542.16,30.74014906595098,219.0,No,33.878701096384674,116.94863597095664,Low_spent_Large_value_payments,318.74066293265867,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
January,43.0,Doctor,59359.04,4961.586666666667,9.0,10.0,28.0,6.0,29.0,17.0,15.28,10.0,0.0,3339.7,35.09230582459466,71.0,Yes,287.0888500803725,334.8947454290058,High_spent_Small_value_payments,134.1750711572884,1,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
March,44.0,Media_Manager,17096.25,1669.6875,10.0,8.0,19.0,7.0,18.0,17.0,9.38,11.0,0.0,2733.27,22.69698282480536,41.0,Yes,74.05755769101916,108.02507826026266,Low_spent_Large_value_payments,254.88611404871816,1,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
June,23.0,Writer,77253.54,6301.794999999999,2.0,7.0,12.0,2.0,13.0,5.0,4.28,6.0,2.0,565.23,32.12304037386671,250.0,No,85.98323032673036,86.19111159356724,High_spent_Medium_value_payments,708.0051580797023,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
July,33.0,Mechanic,19741.36,1543.1133333333337,4.0,5.0,15.0,6.0,14.0,8.0,11.46,10.0,1.0,1250.19,26.57528862310788,137.0,No,87.43157793942932,49.84260380860407,High_spent_Small_value_payments,277.03715158529997,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
March,20.0,Entrepreneur,106733.13,8873.4275,4.0,4.0,14.0,0.0,2.0,6.0,0.86,0.0,2.0,76.23,42.070458602150005,395.0,No,0.0,172.03282853259896,High_spent_Large_value_payments,334.044059374466,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
May,54.0,Doctor,24057.73,2279.810833333333,3.0,7.0,13.0,3.0,11.0,15.0,9.73,1.0,1.0,633.61,35.9146902626121,237.0,No,50.04247097084885,17.00375484947089,High_spent_Large_value_payments,400.9348575130136,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
March,44.0,Entrepreneur,7097.015,500.41791666666666,10.0,9.0,22.0,7.0,52.0,24.0,23.84,11.0,0.0,3886.64,37.211514023639246,30.0,Yes,34.010458606710074,16.253114080637552,Low_spent_Medium_value_payments,279.77821897931904,0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0
August,28.0,Teacher,37756.85,3097.31625,2.0,3.0,3.0,1.0,24.0,12.0,-0.20000000000000015,7.0,2.0,436.11,39.645835905673216,246.0,No,69.46323081444827,168.38280400153246,High_spent_Large_value_payments,334.044059374466,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
June,39.0,Manager,76644.16,5331.132338456785,5.0,4.0,9.0,3.0,24.0,10.0,0.68,4.0,1.0,1431.83,25.23641164872528,338.0,No,69.46323081444827,428.96796972744863,High_spent_Small_value_payments,338.94952646321286,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
April,15.0,Lawyer,14581.315,1073.1095833333334,8.0,4.0,10.0,6.0,13.0,17.0,7.67,8.0,1.0,471.0,27.22090283999888,133.0,Yes,61.62907953515175,73.42578030615286,Low_spent_Small_value_payments,262.25609849202874,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
April,25.0,Doctor,14444.875,1398.739583333333,1.0,4.0,11.0,4.0,5.0,7.0,9.56,8.0,1.0,1221.67,37.74114458625506,349.0,No,31.79486768890263,70.04879705380493,Low_spent_Large_value_payments,308.0302935906258,2,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
June,45.0,Journalist,69279.38,5836.281666666668,3.0,5.0,8.0,0.0,8.0,10.0,9.25,1.0,2.0,1475.0,29.95049009588912,244.0,No,0.0,240.7380502965733,High_spent_Medium_value_payments,592.8901163700934,0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
May,36.0,Musician,11482.565,1128.8804166666666,4.0,3.0,10.0,3.0,19.0,10.0,8.05,3.0,1.0,517.07,39.02550641036617,188.0,No,15.370862725615847,99.09549988814315,Low_spent_Small_value_payments,288.4216790529077,1,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
June,38.0,Lawyer,82796.52,6927.71,3.0,5.0,6.0,1.0,22.0,21.0,18.06,7.0,1.0,966.79,27.042312361354977,234.0,Yes,55.12145259502531,133.72800399760985,Low_spent_Small_value_payments,11.66438331718689,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
January,33.0,Engineer,14093.08,1246.4233333333334,4.0,3.0,22.0,4.0,25.0,17.0,4.3,9.0,1.0,1321.92,33.46836058121766,173.0,Yes,42.11098304737305,40.38084970459367,Low_spent_Medium_value_payments,322.1505005813666,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
February,29.0,Lawyer,37756.85,3097.31625,3.0,5.0,4.0,1.0,2.0,10.0,9.77,0.0,2.0,116.94,46.63929930336639,360.0,No,82.56196565231015,254.24612957038292,High_spent_Medium_value_payments,334.044059374466,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
April,45.0,Doctor,17059.21,1574.6008333333332,9.0,5.0,26.0,4.0,17.0,17.0,8.57,16.0,0.0,2380.48,31.63696673489804,360.0,Yes,30.964348882326284,190.81550432281682,Low_spent_Small_value_payments,225.68023012819032,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
August,48.0,Journalist,15641.73,1205.4775,1.0,4.0,8.0,4.0,-3.0,4.0,11.73,3.0,2.0,1429.18,38.170741490117656,263.0,No,30.88270741777375,45.98988261961596,Low_spent_Medium_value_payments,323.67515996261034,2,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
March,23.0,Musician,37999.06,1205.4775,10.0,9.0,26.0,6.0,30.0,25.0,9.38,11.0,0.0,3783.59,37.7811700958816,17.0,Yes,153.9901698086159,96.68103813440705,Low_spent_Medium_value_payments,322.68762539031053,0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
August,24.0,Doctor,46850.7,3837.225,5.0,4.0,20.0,5.0,12.0,12.0,7.23,10.0,1.0,1676.93,36.52901158390732,185.0,Yes,194.8209167843006,104.15974604229835,High_spent_Large_value_payments,380.82965867831564,1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
June,16.0,Entrepreneur,56101.0,4655.083333333333,7.0,9.0,24.0,9.0,49.0,15.0,4.77,10.0,0.0,1178.69,32.99623180893914,115.0,Yes,69.46323081444827,431.03745350018545,Low_spent_Medium_value_payments,334.044059374466,0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
May,23.0,Scientist,43788.75,3394.0625,3.0,7.0,10.0,1.0,7.0,6.0,4.43,4.0,2.0,1427.84,40.039705439045065,345.0,No,23.44304387445748,82.58756248999916,Low_spent_Small_value_payments,493.3756436355434,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
February,36.0,Entrepreneur,125027.24,10152.936666666666,4.0,3.0,5.0,1.0,11.0,3.0,8.58,3.0,2.0,836.14,44.029938316010025,242.0,No,80.83664181875184,133.72800399760985,Low_spent_Small_value_payments,334.044059374466,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
February,45.0,Entrepreneur,62630.6,5286.216666666666,9.0,6.0,22.0,5.0,55.0,14.0,13.07,11.0,1.0,2425.13,24.553361236007948,198.0,Yes,229.7753057322414,133.72800399760985,Low_spent_Small_value_payments,334.044059374466,0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
July,25.0,Manager,80230.68,6501.889999999999,4.0,5.0,31.0,2.0,10.0,10.0,9.42,7.0,1.0,2696.61,36.099824064231655,175.0,Yes,100.0622810824815,71.85146946166095,High_spent_Large_value_payments,718.2752494558575,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
July,33.0,Lawyer,28608.65,2490.054166666667,4.0,7.0,12.0,1.0,2.0,11.0,5.68,4.0,2.0,143.04,35.53250123039983,175.0,No,23.008446135215287,65.59401380121423,High_spent_Medium_value_payments,410.4029567302372,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
August,36.0,Entrepreneur,23957.75,1736.479166666667,7.0,3.0,17.0,3.0,6.0,8.0,7.97,6.0,1.0,890.77,37.58019494787848,273.0,Yes,69.46323081444827,96.7555823402552,High_spent_Small_value_payments,274.38626246728745,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
June,22.0,Mechanic,20336.52,1587.71,4.0,5.0,19.0,5.0,30.0,16.0,8.05,5.0,1.0,1398.96,31.678955515964443,183.0,Yes,59.66069570490642,94.94605507102278,Low_spent_Small_value_payments,294.16424922407083,0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
June,33.0,Journalist,85038.87,6836.572499999998,0.0,2.0,6.0,3.0,9.0,8.0,3.86,2.0,1.0,995.2,25.82146096131629,278.0,No,154.410247528185,170.5158302151842,High_spent_Large_value_payments,598.7311722566308,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
June,21.0,Teacher,37756.85,11999.787525241987,3.0,3.0,5.0,3.0,0.0,10.0,9.97,0.0,2.0,362.01,45.26207763677517,280.0,No,69.46323081444827,179.02872502316603,High_spent_Large_value_payments,334.044059374466,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
January,55.0,Journalist,144901.76,12350.146666666667,4.0,7.0,10.0,2.0,12.0,8.0,7.94,4.0,1.0,1365.04,29.941588832998463,308.0,No,170.77860550495134,304.5635251112025,High_spent_Large_value_payments,334.044059374466,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
July,48.0,Developer,119321.84,9694.486666666666,2.0,4.0,19.0,4.0,22.0,17.0,8.85,1.0,1.0,149.44,32.47907904207601,221.0,No,69.46323081444827,93.83032760542118,High_spent_Large_value_payments,334.044059374466,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
May,43.0,Scientist,7296.72,840.0600000000002,8.0,6.0,29.0,5.0,20.0,14.0,17.65,13.0,1.0,2567.89,39.58571399844495,75.0,Yes,30.014600717117123,47.016984538676795,Low_spent_Small_value_payments,296.9744147442061,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
June,48.0,Developer,66120.99,5665.0825,7.0,4.0,20.0,2.0,14.0,12.0,11.65,0.0,1.0,553.15,33.31695091111712,216.0,No,95.35810191886792,220.64708306203738,Low_spent_Medium_value_payments,530.5030650190947,1,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
July,29.0,Accountant,14189.3,973.4416666666666,8.0,3.0,23.0,2.0,10.0,9.0,17.02,12.0,1.0,1281.77,24.975510845650447,224.0,Yes,19.79281108541641,41.86652723864064,Low_spent_Small_value_payments,325.68482834260965,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
July,28.0,Teacher,102910.11000000002,8707.8425,7.0,6.0,11.0,2.0,28.0,18.0,19.1,8.0,1.0,930.24,42.214652331935184,243.0,Yes,166.0483202490832,145.9713843896828,High_spent_Medium_value_payments,334.044059374466,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
February,35.0,Musician,15091.03,1480.585833333333,7.0,7.0,26.0,9.0,37.0,18.0,6.18,9.0,0.0,3247.42,34.70475274189484,123.0,Yes,69.46323081444827,29.440179067496125,High_spent_Large_value_payments,265.00120334688893,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
August,33.0,Manager,37756.85,3097.31625,4.0,5.0,6.0,1.0,5.0,8.0,8.99,4.0,2.0,411.89,39.85330450628191,387.0,No,113.49321398786311,364.6766651510254,High_spent_Small_value_payments,334.044059374466,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
May,19.0,Mechanic,20403.52,1755.293333333333,1.0,7.0,12.0,1.0,1.0,2.0,-0.1499999999999999,4.0,2.0,397.38,30.417906304559487,386.0,No,13.89072633942496,106.82804584539248,Low_spent_Small_value_payments,344.81056114851583,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
April,35.0,Engineer,108472.35,9233.3625,5.0,7.0,2.0,4.0,15.0,14.0,0.57,3.0,2.0,1351.42,28.72807017949165,282.0,No,241.60567434319992,146.8255760160047,High_spent_Large_value_payments,334.044059374466,2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
May,25.0,Lawyer,18158.33,1325.1941666666671,7.0,9.0,25.0,4.0,28.0,16.0,16.52,11.0,0.0,1401.91,26.163259863261448,282.0,Yes,39.76786259442177,99.14570968195177,Low_spent_Small_value_payments,283.6058443902932,0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
March,33.0,Mechanic,63258.9,5061.575,6.0,6.0,11.0,1.0,19.0,8.0,4.78,4.0,2.0,137.98,27.648302062071213,271.0,No,28.64388925972857,348.5593727847398,Low_spent_Small_value_payments,408.9542379555317,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
May,32.0,Manager,108134.07,5061.575,5.0,3.0,15.0,0.0,23.0,19.0,19.29,5.0,1.0,198.06,31.549430582177013,291.0,Yes,0.0,441.8186644751461,Low_spent_Large_value_payments,706.098585524854,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
